event_id,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets
636,TCP,387225.0,10.0,5.0,1328.0,1167.0
675,UDP,48595.0,2.0,2.0,86.0,118.0
678,UDP,54689.0,2.0,2.0,76.0,376.0
696,TCP,3.0,2.0,0.0,37.0,0.0
707,TCP,51796.0,2.0,0.0,0.0,0.0
710,TCP,71900.0,3.0,3.0,86.0,7.0
711,TCP,156713.0,3.0,0.0,0.0,0.0
727,TCP,431397.0,13.0,8.0,1169.0,5140.0
729,UDP,31056.0,2.0,2.0,88.0,204.0
731,UDP,53392.0,1.0,1.0,45.0,80.0
741,TCP,4.0,2.0,0.0,37.0,0.0
749,TCP,26.0,1.0,1.0,0.0,0.0
752,TCP,4.0,2.0,0.0,37.0,0.0
758,TCP,214.0,3.0,1.0,18.0,0.0
760,TCP,204.0,3.0,1.0,18.0,0.0
769,TCP,95392.0,1.0,1.0,0.0,0.0
781,TCP,1249413.0,19.0,14.0,1636.0,12823.0
791,TCP,65.0,1.0,1.0,0.0,0.0
810,TCP,78.0,1.0,1.0,0.0,0.0
822,TCP,3.0,2.0,0.0,12.0,0.0
827,TCP,5245365.0,11.0,10.0,806.0,5296.0
828,TCP,271236.0,10.0,7.0,1318.0,2607.0
834,UDP,30666.0,1.0,1.0,58.0,186.0
836,TCP,3.0,2.0,0.0,37.0,0.0
861,TCP,1014.0,2.0,1.0,0.0,0.0
877,TCP,314703.0,10.0,6.0,756.0,719.0
921,UDP,182.0,2.0,2.0,46.0,46.0
924,UDP,158.0,2.0,2.0,46.0,46.0
925,UDP,202.0,2.0,2.0,46.0,46.0
940,TCP,201921.0,10.0,5.0,819.0,799.0
946,TCP,14.0,1.0,1.0,0.0,0.0
966,TCP,435406.0,13.0,8.0,877.0,4676.0
1003,TCP,23.0,2.0,1.0,0.0,0.0
1016,TCP,52733.0,1.0,1.0,0.0,0.0
1020,TCP,352.0,3.0,1.0,18.0,0.0
1040,TCP,75.0,1.0,1.0,0.0,0.0
1057,TCP,29324.0,2.0,3.0,0.0,18.0
1067,TCP,79313127.0,19.0,8.0,3338.0,2528.0
1071,TCP,207.0,2.0,1.0,0.0,0.0
1084,TCP,368.0,2.0,1.0,0.0,0.0
1085,TCP,53.0,1.0,1.0,0.0,0.0
1102,TCP,229527.0,1.0,1.0,6.0,37.0
1110,TCP,587459.0,14.0,10.0,1124.0,10129.0
1120,UDP,31094.0,1.0,1.0,47.0,175.0
1155,TCP,3.0,2.0,0.0,37.0,0.0
1168,TCP,126655.0,10.0,5.0,742.0,1519.0
1179,UDP,31258.0,2.0,2.0,80.0,336.0
1183,TCP,56.0,2.0,0.0,37.0,0.0
1199,UDP,30841.0,1.0,1.0,51.0,179.0
1205,TCP,121953.0,2.0,1.0,0.0,0.0
1251,TCP,3.0,2.0,0.0,37.0,0.0
1279,TCP,772110.0,2.0,1.0,12.0,37.0
1281,UDP,60153.0,1.0,1.0,54.0,70.0
1291,TCP,8008324.0,2.0,0.0,74.0,0.0
1307,UDP,51264.0,1.0,1.0,52.0,68.0
1311,UDP,91600.0,1.0,1.0,44.0,137.0
1325,UDP,60697.0,2.0,2.0,76.0,236.0
1328,UDP,147120.0,2.0,2.0,60.0,264.0
1330,UDP,78308.0,2.0,2.0,82.0,302.0
1333,TCP,10244144.0,18.0,24.0,718.0,38420.0
1335,UDP,60781.0,2.0,2.0,74.0,190.0
1336,UDP,60943.0,2.0,2.0,72.0,178.0
1343,TCP,179956.0,13.0,16.0,941.0,18131.0
1361,UDP,52924.0,1.0,1.0,50.0,87.0
1367,UDP,251849.0,1.0,1.0,55.0,219.0
1385,UDP,252277.0,2.0,2.0,88.0,416.0
1392,UDP,125706.0,2.0,2.0,60.0,226.0
1401,TCP,117301792.0,76.0,70.0,1857.0,87239.0
1408,UDP,61917.0,2.0,2.0,66.0,252.0
1418,TCP,139399.0,10.0,5.0,966.0,1615.0
1420,TCP,142488.0,11.0,6.0,1046.0,4527.0
1424,UDP,61723.0,1.0,1.0,51.0,150.0
1440,TCP,5307057.0,13.0,9.0,431.0,3015.0
1451,TCP,116322579.0,20.0,17.0,1366.0,637.0
1456,TCP,15439566.0,10.0,8.0,1573.0,1768.0
1468,TCP,115717265.0,27.0,23.0,1348.0,14998.0
1486,UDP,54011.0,2.0,2.0,64.0,432.0
1506,TCP,197821.0,4.0,1.0,190.0,0.0
1518,TCP,101027.0,2.0,3.0,0.0,18.0
1532,TCP,115861631.0,22.0,20.0,1667.0,7994.0
1537,TCP,1.0,2.0,0.0,12.0,0.0
1542,UDP,158.0,2.0,2.0,86.0,204.0
1546,TCP,5987762.0,7.0,4.0,635.0,168.0
1554,TCP,118191462.0,47.0,64.0,2711.0,67888.0
1557,UDP,220.0,2.0,2.0,86.0,204.0
1562,TCP,1.0,1.0,1.0,0.0,0.0
1565,TCP,83.0,2.0,1.0,0.0,0.0
1576,TCP,22180083.0,25.0,18.0,8018.0,1933.0
1579,TCP,206881.0,10.0,6.0,1140.0,943.0
1612,TCP,249513.0,13.0,8.0,1164.0,4304.0
1620,UDP,30222.0,1.0,1.0,44.0,60.0
1628,UDP,179.0,2.0,2.0,74.0,262.0
1631,UDP,30509.0,2.0,2.0,66.0,98.0
1639,TCP,115314742.0,45.0,60.0,1984.0,76764.0
1640,TCP,29186435.0,14.0,11.0,2160.0,8867.0
1655,TCP,3.0,2.0,0.0,0.0,0.0
1662,TCP,63.0,2.0,1.0,0.0,0.0
1684,TCP,215.0,3.0,1.0,18.0,0.0
1689,TCP,19563.0,2.0,1.0,12.0,0.0
1701,UDP,71345.0,1.0,1.0,44.0,250.0
1722,UDP,53210.0,1.0,1.0,52.0,116.0
1727,UDP,179.0,2.0,2.0,60.0,264.0
1729,UDP,366189.0,2.0,2.0,60.0,264.0
1735,UDP,175704.0,2.0,2.0,76.0,284.0
1736,UDP,71794.0,2.0,2.0,58.0,510.0
1762,TCP,90982451.0,36.0,34.0,2865.0,31837.0
1774,TCP,141.0,2.0,0.0,0.0,0.0
1782,TCP,116052468.0,22.0,19.0,968.0,3488.0
1784,TCP,5775332.0,3.0,1.0,0.0,0.0
1785,TCP,22950585.0,6.0,7.0,432.0,2052.0
1797,TCP,62694162.0,17.0,15.0,884.0,4176.0
1806,TCP,31343450.0,14.0,11.0,847.0,4207.0
1820,TCP,8622.0,2.0,0.0,0.0,0.0
1837,UDP,30793.0,2.0,2.0,62.0,190.0
1844,TCP,4.0,2.0,0.0,37.0,0.0
1853,TCP,3.0,2.0,0.0,0.0,0.0
1884,TCP,3.0,2.0,0.0,37.0,0.0
1890,TCP,32033466.0,2.0,0.0,74.0,0.0
1894,TCP,71.0,1.0,1.0,6.0,6.0
1903,TCP,382881.0,15.0,11.0,974.0,7387.0
1919,UDP,60753.0,1.0,1.0,49.0,199.0
1926,UDP,53874.0,1.0,1.0,46.0,357.0
1943,TCP,68235.0,3.0,4.0,429.0,2267.0
1978,TCP,52864.0,2.0,1.0,0.0,0.0
1981,TCP,52735.0,2.0,1.0,0.0,0.0
1986,TCP,3.0,2.0,0.0,37.0,0.0
1992,TCP,3.0,2.0,0.0,29.0,0.0
2003,TCP,307855.0,23.0,18.0,884.0,10883.0
2004,UDP,120593.0,1.0,1.0,45.0,136.0
2031,TCP,207.0,2.0,0.0,0.0,0.0
2038,TCP,49.0,2.0,0.0,0.0,0.0
2039,TCP,175.0,2.0,0.0,12.0,0.0
2043,TCP,23416.0,1.0,1.0,0.0,0.0
2068,TCP,979.0,2.0,1.0,0.0,0.0
2076,TCP,95.0,1.0,1.0,0.0,0.0
2086,TCP,247834.0,2.0,3.0,37.0,18.0
2087,TCP,3.0,2.0,0.0,0.0,0.0
2097,TCP,85749.0,3.0,2.0,18.0,0.0
2107,TCP,308254.0,22.0,18.0,884.0,10915.0
2109,TCP,170350.0,24.0,32.0,740.0,43138.0
2111,TCP,133961.0,23.0,33.0,740.0,43138.0
2121,TCP,4.0,2.0,0.0,37.0,0.0
2139,TCP,32034245.0,2.0,0.0,74.0,0.0
2142,TCP,32034206.0,2.0,0.0,74.0,0.0
2143,TCP,524728.0,10.0,6.0,1136.0,1167.0
2145,TCP,49.0,2.0,1.0,37.0,6.0
2150,TCP,4.0,2.0,0.0,12.0,0.0
2154,TCP,40486379.0,14.0,16.0,1546.0,6087.0
2174,TCP,58.0,1.0,1.0,0.0,0.0
2175,TCP,79.0,2.0,1.0,0.0,0.0
2184,TCP,538.0,3.0,1.0,18.0,0.0
2194,TCP,5120273.0,8.0,6.0,391.0,3716.0
2206,TCP,169548.0,11.0,6.0,644.0,1924.0
2214,TCP,475047.0,10.0,6.0,720.0,1151.0
2217,TCP,87671.0,4.0,1.0,18.0,0.0
2222,TCP,85.0,1.0,1.0,6.0,6.0
2250,TCP,48.0,2.0,1.0,37.0,6.0
2257,TCP,149870.0,10.0,7.0,1032.0,4271.0
2277,UDP,16284.0,1.0,1.0,48.0,48.0
2285,UDP,43285492.0,2.0,2.0,100.0,144.0
2288,TCP,115984728.0,16.0,14.0,517.0,752.0
2292,UDP,157.0,2.0,2.0,74.0,154.0
2296,UDP,49921.0,2.0,2.0,66.0,122.0
2365,TCP,87076.0,2.0,3.0,0.0,18.0
2366,TCP,4.0,2.0,0.0,37.0,0.0
2371,TCP,889880.0,4.0,4.0,210.0,1607.0
2375,TCP,988954.0,2.0,0.0,0.0,0.0
2382,TCP,85496.0,3.0,2.0,18.0,0.0
2383,UDP,24028.0,2.0,2.0,72.0,328.0
2387,UDP,23570.0,1.0,1.0,47.0,175.0
2392,TCP,3.0,2.0,0.0,12.0,0.0
2394,TCP,789.0,4.0,0.0,106.0,0.0
2409,TCP,3.0,2.0,0.0,12.0,0.0
2418,TCP,3.0,2.0,0.0,37.0,0.0
2446,TCP,431399.0,10.0,6.0,720.0,1119.0
2482,TCP,383464.0,15.0,10.0,974.0,7387.0
2493,TCP,4.0,2.0,0.0,0.0,0.0
2496,TCP,4.0,2.0,0.0,0.0,0.0
2513,TCP,320.0,3.0,0.0,37.0,0.0
2527,TCP,3280625.0,2.0,1.0,1448.0,6.0
2559,TCP,186846.0,10.0,7.0,1032.0,4207.0
2574,TCP,3.0,2.0,0.0,37.0,0.0
2575,TCP,215.0,2.0,0.0,37.0,0.0
2583,TCP,87053.0,4.0,1.0,24.0,0.0
2586,TCP,3.0,2.0,0.0,12.0,0.0
2599,TCP,64064832.0,2.0,0.0,74.0,0.0
2604,TCP,69.0,1.0,1.0,0.0,0.0
2620,TCP,27.0,1.0,1.0,0.0,0.0
2625,TCP,175056.0,2.0,3.0,0.0,18.0
2626,TCP,4.0,2.0,0.0,37.0,0.0
2653,TCP,115908184.0,35.0,48.0,983.0,47674.0
2669,UDP,30799.0,1.0,1.0,43.0,59.0
2695,TCP,147.0,1.0,1.0,0.0,0.0
2698,TCP,92841.0,6.0,9.0,479.0,713.0
2704,TCP,86628.0,2.0,4.0,0.0,24.0
2711,TCP,53101.0,1.0,1.0,0.0,0.0
2725,UDP,61340.0,2.0,2.0,84.0,310.0
2727,TCP,119967574.0,17.0,16.0,656.0,780.0
2752,TCP,87520.0,2.0,3.0,0.0,18.0
2763,UDP,145.0,2.0,2.0,80.0,112.0
2785,UDP,62170.0,2.0,2.0,106.0,218.0
2796,UDP,60198.0,2.0,2.0,88.0,200.0
2820,UDP,61758.0,1.0,1.0,64.0,120.0
2829,TCP,69240810.0,31.0,38.0,2490.0,51089.0
2837,UDP,65344.0,1.0,1.0,71.0,153.0
2839,UDP,30660.0,2.0,2.0,136.0,300.0
2845,TCP,5250469.0,6.0,4.0,611.0,164.0
2847,TCP,63783152.0,18.0,17.0,3815.0,8395.0
2867,UDP,167.0,2.0,2.0,82.0,114.0
2882,UDP,152.0,2.0,2.0,58.0,90.0
2885,UDP,193.0,2.0,2.0,82.0,210.0
2892,TCP,5178217.0,9.0,5.0,620.0,4395.0
2894,TCP,61913249.0,26.0,22.0,3973.0,16824.0
2901,TCP,115187270.0,16.0,14.0,495.0,1772.0
2902,TCP,116203258.0,19.0,16.0,912.0,3538.0
2923,TCP,70221.0,3.0,5.0,427.0,2279.0
2936,UDP,185.0,2.0,2.0,58.0,90.0
2940,UDP,149.0,2.0,2.0,76.0,132.0
2945,UDP,185.0,2.0,2.0,76.0,108.0
2952,UDP,191.0,2.0,2.0,72.0,240.0
2972,TCP,175246.0,3.0,2.0,18.0,0.0
2975,UDP,48819.0,1.0,1.0,46.0,62.0
2977,UDP,23676.0,1.0,1.0,47.0,63.0
2983,UDP,51388.0,1.0,1.0,62.0,90.0
3002,TCP,71.0,1.0,1.0,0.0,0.0
3003,TCP,53017.0,2.0,1.0,0.0,0.0
3005,TCP,3.0,2.0,0.0,37.0,0.0
3019,UDP,203.0,2.0,2.0,60.0,264.0
3028,UDP,156.0,2.0,2.0,54.0,118.0
3043,TCP,1510.0,2.0,0.0,12.0,0.0
3046,TCP,115791661.0,16.0,14.0,508.0,1779.0
3050,TCP,117661835.0,55.0,50.0,887.0,68259.0
3051,TCP,122815.0,10.0,7.0,587.0,3832.0
3082,TCP,61183101.0,15.0,15.0,1027.0,5638.0
3102,TCP,5860727.0,3.0,1.0,12.0,2.0
3106,TCP,5801504.0,4.0,2.0,12.0,0.0
3130,UDP,160.0,2.0,2.0,76.0,154.0
3152,UDP,219.0,2.0,2.0,60.0,264.0
3164,UDP,129037.0,1.0,1.0,47.0,135.0
3170,UDP,30535.0,1.0,1.0,56.0,72.0
3171,UDP,23572.0,1.0,1.0,86.0,168.0
3175,UDP,47279.0,1.0,1.0,50.0,82.0
3187,UDP,30298.0,1.0,1.0,56.0,84.0
3188,UDP,30573.0,1.0,1.0,66.0,122.0
3196,UDP,31698.0,1.0,1.0,49.0,130.0
3217,TCP,5821224.0,8.0,5.0,380.0,3043.0
3226,UDP,127749.0,4.0,4.0,136.0,512.0
3245,TCP,50.0,1.0,1.0,6.0,6.0
3252,TCP,115785205.0,21.0,18.0,3235.0,3152.0
3261,TCP,3382495.0,3.0,3.0,6.0,6.0
3262,UDP,62021.0,2.0,2.0,84.0,288.0
3264,TCP,4.0,2.0,0.0,0.0,0.0
3282,TCP,80.0,1.0,1.0,0.0,0.0
3300,UDP,31066.0,2.0,2.0,62.0,162.0
3333,TCP,1085510.0,10.0,11.0,851.0,3950.0
3336,UDP,63026271.0,2.0,2.0,96.0,96.0
3339,TCP,20729.0,4.0,1.0,18.0,0.0
3343,TCP,906429.0,6.0,7.0,468.0,635.0
3344,TCP,547.0,3.0,0.0,37.0,0.0
3352,TCP,16036.0,2.0,1.0,12.0,6.0
3358,TCP,62.0,2.0,0.0,12.0,0.0
3364,TCP,321.0,3.0,1.0,18.0,0.0
3374,TCP,174506.0,2.0,3.0,0.0,18.0
3382,TCP,52724.0,2.0,1.0,0.0,0.0
3387,TCP,70.0,1.0,1.0,0.0,0.0
3408,UDP,395.0,1.0,1.0,43.0,102.0
3435,UDP,23613.0,2.0,2.0,84.0,284.0
3437,TCP,5352751.0,11.0,8.0,382.0,3152.0
3439,UDP,51037.0,2.0,2.0,82.0,254.0
3441,UDP,24146.0,2.0,2.0,68.0,138.0
3443,TCP,5712438.0,9.0,6.0,384.0,4080.0
3454,UDP,269.0,2.0,2.0,84.0,370.0
3472,TCP,91.0,1.0,1.0,0.0,0.0
3478,TCP,302324.0,15.0,10.0,974.0,7387.0
3479,TCP,282209.0,10.0,5.0,896.0,1471.0
3516,UDP,65143.0,1.0,1.0,49.0,65.0
3524,TCP,108.0,2.0,0.0,12.0,0.0
3534,TCP,276207.0,6.0,8.0,482.0,644.0
3539,TCP,2.0,2.0,0.0,37.0,0.0
3570,TCP,2.0,2.0,0.0,31.0,0.0
3571,TCP,4.0,2.0,0.0,31.0,0.0
3576,TCP,55.0,1.0,1.0,0.0,0.0
3602,TCP,4.0,2.0,0.0,31.0,0.0
3606,TCP,52113.0,1.0,1.0,0.0,0.0
3609,TCP,245675.0,10.0,5.0,713.0,479.0
3611,TCP,3.0,2.0,0.0,12.0,0.0
3631,TCP,1.0,2.0,0.0,31.0,0.0
3636,TCP,1.0,2.0,0.0,31.0,0.0
3644,TCP,181.0,3.0,1.0,18.0,0.0
3659,TCP,69.0,1.0,1.0,0.0,0.0
3671,TCP,22.0,1.0,1.0,0.0,0.0
3679,TCP,64064157.0,2.0,0.0,74.0,0.0
3684,TCP,47.0,2.0,1.0,31.0,6.0
3709,TCP,32.0,1.0,1.0,0.0,0.0
3716,TCP,82.0,2.0,0.0,12.0,0.0
3730,TCP,3.0,2.0,0.0,37.0,0.0
3731,TCP,180425.0,2.0,3.0,0.0,18.0
3739,TCP,58.0,2.0,1.0,31.0,6.0
3749,TCP,45.0,2.0,0.0,12.0,0.0
3758,TCP,5338471.0,3.0,1.0,31.0,0.0
3760,TCP,113.0,1.0,1.0,0.0,0.0
3813,UDP,222.0,2.0,2.0,64.0,96.0
3821,UDP,23857.0,1.0,1.0,47.0,175.0
3857,TCP,1429.0,2.0,1.0,0.0,0.0
3858,TCP,274.0,2.0,1.0,0.0,0.0
3864,TCP,447815.0,14.0,9.0,1435.0,5775.0
3868,TCP,4.0,1.0,1.0,6.0,6.0
3880,TCP,22.0,1.0,1.0,6.0,6.0
3902,TCP,80.0,2.0,0.0,12.0,0.0
3909,TCP,3.0,2.0,0.0,12.0,0.0
3960,UDP,206.0,2.0,2.0,64.0,96.0
3966,UDP,181.0,2.0,2.0,88.0,188.0
3971,UDP,160.0,2.0,2.0,64.0,96.0
3981,UDP,160.0,2.0,2.0,102.0,224.0
3986,UDP,176.0,2.0,2.0,86.0,142.0
3997,UDP,214.0,2.0,2.0,102.0,224.0
3998,UDP,181.0,2.0,2.0,64.0,96.0
4008,UDP,151.0,2.0,2.0,88.0,188.0
4011,UDP,170.0,2.0,2.0,88.0,188.0
4020,UDP,204.0,2.0,2.0,46.0,46.0
4041,UDP,23740.0,2.0,2.0,72.0,194.0
4062,TCP,236.0,3.0,1.0,18.0,0.0
4073,UDP,48331.0,1.0,1.0,63.0,123.0
4082,UDP,143.0,2.0,2.0,66.0,98.0
4104,TCP,934.0,3.0,1.0,18.0,6.0
4109,TCP,527840.0,13.0,8.0,1435.0,5775.0
4116,UDP,23866.0,2.0,2.0,62.0,162.0
4130,TCP,6737513.0,5.0,0.0,666.0,0.0
4148,TCP,3.0,2.0,0.0,37.0,0.0
4155,TCP,3.0,2.0,0.0,37.0,0.0
4170,TCP,88204.0,4.0,1.0,18.0,0.0
4173,UDP,75055.0,2.0,2.0,86.0,214.0
4179,UDP,245540.0,2.0,2.0,86.0,242.0
4180,UDP,182681.0,2.0,2.0,62.0,248.0
4182,TCP,1039.0,4.0,0.0,29.0,0.0
4193,TCP,75.0,1.0,1.0,0.0,0.0
4195,TCP,14.0,2.0,1.0,0.0,0.0
4200,TCP,233413.0,3.0,2.0,18.0,43.0
4202,TCP,3.0,2.0,0.0,12.0,0.0
4228,TCP,248.0,2.0,1.0,37.0,6.0
4233,UDP,105611.0,2.0,2.0,76.0,272.0
4243,TCP,255754.0,12.0,8.0,2058.0,559.0
4256,TCP,391.0,3.0,1.0,18.0,0.0
4259,TCP,419497.0,15.0,17.0,965.0,22534.0
4263,TCP,168249.0,13.0,7.0,1029.0,3297.0
4266,TCP,105104.0,10.0,5.0,810.0,399.0
4284,TCP,3.0,2.0,0.0,37.0,0.0
4292,TCP,66.0,1.0,1.0,0.0,0.0
4293,TCP,214.0,2.0,1.0,37.0,6.0
4295,TCP,3.0,2.0,0.0,37.0,0.0
4319,TCP,92.0,1.0,1.0,0.0,0.0
4325,TCP,195049.0,8.0,6.0,433.0,1650.0
4360,TCP,71.0,1.0,1.0,0.0,0.0
4387,UDP,47813.0,2.0,2.0,90.0,162.0
4411,TCP,98396.0,7.0,6.0,375.0,5302.0
4416,UDP,122011.0,2.0,2.0,72.0,414.0
4421,UDP,121583.0,1.0,1.0,47.0,218.0
4431,TCP,3757.0,1.0,1.0,6.0,6.0
4435,TCP,3.0,2.0,0.0,37.0,0.0
4437,TCP,211.0,2.0,0.0,37.0,0.0
4443,UDP,23836.0,2.0,2.0,66.0,194.0
4445,TCP,48542.0,5.0,3.0,394.0,844.0
4457,TCP,87.0,1.0,1.0,6.0,6.0
4473,TCP,31278.0,5.0,3.0,477.0,350.0
4474,TCP,41652.0,6.0,4.0,374.0,509.0
4482,TCP,137259.0,13.0,8.0,914.0,4396.0
4483,TCP,111426.0,5.0,3.0,379.0,375.0
4486,UDP,23549.0,1.0,1.0,56.0,72.0
4500,TCP,415.0,1.0,1.0,0.0,0.0
4501,TCP,86.0,1.0,1.0,0.0,0.0
4507,UDP,15.0,13.0,0.0,585.0,0.0
4509,UDP,43221.0,2.0,2.0,68.0,410.0
4529,TCP,110725.0,6.0,4.0,1882.0,407.0
4540,TCP,75366.0,5.0,3.0,459.0,327.0
4546,UDP,23958.0,2.0,2.0,66.0,98.0
4550,UDP,46042.0,1.0,1.0,53.0,158.0
4555,UDP,42929.0,1.0,1.0,58.0,186.0
4557,TCP,62.0,1.0,1.0,6.0,6.0
4561,TCP,61.0,1.0,1.0,6.0,6.0
4580,TCP,50523.0,1.0,1.0,0.0,6.0
4598,TCP,44.0,1.0,1.0,6.0,6.0
4617,TCP,102.0,1.0,1.0,6.0,6.0
4618,TCP,509.0,1.0,1.0,0.0,0.0
4634,UDP,23957.0,2.0,2.0,82.0,342.0
4649,TCP,72527581.0,4.0,0.0,37.0,0.0
4657,TCP,179002.0,6.0,4.0,485.0,308.0
4680,TCP,48078.0,5.0,3.0,793.0,302.0
4683,TCP,480614.0,13.0,8.0,1297.0,4644.0
4684,TCP,332286.0,5.0,3.0,735.0,1749.0
4692,UDP,111612147.0,4.0,4.0,146.0,570.0
4693,UDP,68986.0,1.0,1.0,49.0,120.0
4719,UDP,1194619.0,1.0,1.0,53.0,134.0
4740,UDP,65449.0,2.0,2.0,106.0,362.0
4742,UDP,62186.0,2.0,2.0,70.0,102.0
4766,UDP,61055.0,1.0,1.0,40.0,104.0
4769,TCP,5974601.0,6.0,2.0,135.0,92.0
4776,TCP,108.0,1.0,1.0,0.0,0.0
4782,TCP,23793.0,1.0,1.0,0.0,0.0
4802,TCP,65.0,1.0,1.0,0.0,0.0
4808,TCP,362.0,1.0,1.0,0.0,0.0
4816,TCP,96768.0,5.0,3.0,313.0,546.0
4818,TCP,349950.0,22.0,17.0,1697.0,17579.0
4823,TCP,1730.0,2.0,0.0,0.0,0.0
4824,TCP,607400.0,12.0,7.0,1089.0,3201.0
4825,TCP,89932646.0,40.0,139.0,851.0,233299.0
4827,UDP,24011.0,1.0,1.0,53.0,117.0
4837,TCP,338.0,1.0,1.0,0.0,0.0
4874,TCP,67503.0,3.0,2.0,426.0,296.0
4876,TCP,179529.0,6.0,5.0,112.0,3757.0
4877,TCP,237560.0,13.0,8.0,1045.0,3824.0
4880,TCP,109112.0,15.0,20.0,619.0,29921.0
4881,TCP,66335.0,5.0,3.0,616.0,500.0
4884,UDP,23627.0,1.0,1.0,67.0,219.0
4894,UDP,93843.0,1.0,1.0,48.0,113.0
4930,TCP,432.0,2.0,0.0,12.0,0.0
4944,TCP,82.0,1.0,1.0,0.0,0.0
4961,TCP,48.0,1.0,1.0,0.0,0.0
4969,TCP,109607.0,5.0,3.0,590.0,526.0
4977,UDP,47661.0,1.0,1.0,56.0,120.0
4982,TCP,91096.0,5.0,3.0,918.0,524.0
4996,TCP,3.0,2.0,0.0,12.0,0.0
5001,UDP,71800.0,2.0,2.0,98.0,316.0
5011,TCP,64060195.0,2.0,0.0,74.0,0.0
5014,TCP,63.0,1.0,1.0,0.0,0.0
5032,TCP,64061473.0,2.0,0.0,74.0,0.0
5056,TCP,43.0,1.0,1.0,6.0,6.0
5061,UDP,46299.0,1.0,1.0,49.0,199.0
5085,TCP,48869332.0,10.0,12.0,958.0,4275.0
5098,UDP,51094.0,2.0,2.0,66.0,140.0
5124,TCP,106109.0,8.0,5.0,517.0,3632.0
5130,TCP,116919210.0,19.0,17.0,1044.0,1938.0
5153,UDP,74482.0,1.0,1.0,55.0,111.0
5175,TCP,314962.0,10.0,8.0,551.0,4536.0
5177,TCP,117774252.0,21.0,26.0,913.0,23968.0
5187,TCP,116560205.0,18.0,16.0,954.0,2394.0
5211,UDP,50170.0,2.0,2.0,84.0,204.0
